0,y_predict,y_observed,error
224_BDSI_G110,0.8089398622822799,0.750252912,-0.05868695028227988
264_BH8DSI_G110,1.0412453274043791,1.222187376,0.1809420485956208
288_BH8DSI_G110,0.2530393387316465,0.095140437,-0.15789890173164653
669_BH8DSI_G110,0.9764218514303984,0.996044166,0.019622314569601618
681_BDSI_G110,0.7967548645629385,0.794224631,-0.0025302335629385775
355_BDSI_G110,0.758601322353794,0.94594793,0.18734660764620603
799_BH8DSI_G110,0.6988660474031221,0.772880198,0.07401415059687788
707_BH8DSI_G110,0.8064125221434857,0.741680495,-0.0647320271434857
127_BH8DSI_G110,0.6520008271674733,0.696550436,0.04454960883252668
83_BDSI_G110,0.3515229859543183,0.259662875,-0.09186011095431829
455_BDSI_G110,0.8964043560769426,0.823418477,-0.07298587907694254
213_BDSI_G110,0.40900055457728257,0.405744803,-0.003255751577282584
480_BDSI_G110,0.48791944207277993,0.424298016,-0.06362142607277993
296_BDSI_G110,0.6441105960702007,0.590303452,-0.05380714407020071
458_BDSI_G110,0.7495037920774656,0.675470193,-0.07403359907746565
365_BDSI_G110,0.757850317972256,0.765864544,0.008014226027744042
155_BDSI_G110,0.8334014203756581,0.969544345,0.13614292462434185
