0,y_predict,y_observed,error
155_BDSI_G42,1.3090392313466777,1.277054862,-0.0319843693466777
224_BDSI_G42,1.2830332439789487,1.394040863,0.11100761902105138
681_BDSI_G42,1.6162979867019365,1.557064741,-0.05923324570193644
213_BDSI_G42,1.1056657541002701,0.965855976,-0.13980977810027018
455_BDSI_G42,1.3569383352876843,1.428450592,0.07151225671231565
83_BDSI_G42,0.6104082088858264,0.409258166,-0.20115004288582639
280_BDSI_G42,1.0201798148245145,0.923620908,-0.09655890682451451
480_BDSI_G42,0.7052595235276237,0.895185122,0.18992559847237633
288_BH8DSI_G42,1.4405302631377341,1.416795343,-0.02373492013773415
296_BDSI_G42,0.9366548214978663,0.994430285,0.057775463502133695
799_BH8DSI_G42,1.1797883423573752,1.204304055,0.024515712642624754
355_BDSI_G42,1.0943345266607862,1.319612573,0.22527804633921367
458_BDSI_G42,1.1943309859749431,1.236786884,0.04245589802505689
365_BDSI_G42,1.1623296761082973,1.14048505,-0.021844626108297405
669_BH8DSI_G42,1.1241339098591359,1.124651248,0.0005173381408640765
707_BH8DSI_G42,1.1869641348950444,1.127268545,-0.05969558989504442
127_BH8DSI_G42,1.240194949855335,1.151218496,-0.08897645385533504
