0,y_predict,y_observed,error
224_BDSI_G106,0.055340550014926215,0.051601317,-0.0037392330149262146
264_BH8DSI_G106,0.4787412250179277,0.475734226,-0.003006999017927725
288_BH8DSI_G106,0.3975820682154909,0.55490867,0.15732660178450908
669_BH8DSI_G106,0.1673943151595938,0.167556322,0.00016200684040620916
355_BDSI_G106,0.16111276649446893,0.082174394,-0.07893837249446893
799_BH8DSI_G106,0.10611237922550298,0.075110663,-0.03100171622550299
707_BH8DSI_G106,0.3673419678231884,0.443057341,0.0757153731768116
127_BH8DSI_G106,0.12178916328236067,0.039863365,-0.08192579828236067
83_BDSI_G106,0.1864374124131567,0.212072692,0.025635279586843307
455_BDSI_G106,0.2467035777392157,0.220559391,-0.026144186739215702
213_BDSI_G106,0.08665849934485381,0.083352248,-0.0033062513448538083
480_BDSI_G106,0.21294040017502702,0.230286603,0.017346202824972984
296_BDSI_G106,0.3001420100939858,0.279424744,-0.020717266093985776
458_BDSI_G106,0.06225178083687144,-0.101041594,-0.16329337483687145
280_BDSI_G106,0.15768105568614788,0.096320274,-0.06136078168614788
365_BDSI_G106,0.14477152135136384,0.404427125,0.25965560364863616
155_BDSI_G106,0.27848226972167023,0.213283711,-0.06519855872167024
