0,y_predict,y_observed,error
224_BDSI_G106,0.04628357898705904,0.051601317,0.005317738012940963
264_BH8DSI_G106,0.4625030541923447,0.475734226,0.013231171807655262
288_BH8DSI_G106,0.43091112262053244,0.55490867,0.12399754737946755
669_BH8DSI_G106,0.14732448234869988,0.167556322,0.020231839651300126
681_BDSI_G106,0.3403950545410801,0.397853393,0.0574583384589199
355_BDSI_G106,0.15299699165840774,0.082174394,-0.07082259765840775
799_BH8DSI_G106,0.11419089440965902,0.075110663,-0.03908023140965902
707_BH8DSI_G106,0.37347025654452004,0.443057341,0.06958708445547995
127_BH8DSI_G106,0.1335528607906884,0.039863365,-0.0936894957906884
83_BDSI_G106,0.18517450668097535,0.212072692,0.02689818531902466
455_BDSI_G106,0.3041426291053826,0.220559391,-0.0835832381053826
480_BDSI_G106,0.22721987373004104,0.230286603,0.003066729269958962
296_BDSI_G106,0.2906561726714738,0.279424744,-0.011231428671473809
458_BDSI_G106,0.07698762218095112,-0.101041594,-0.17802921618095113
280_BDSI_G106,0.14879418117990806,0.096320274,-0.05247390717990806
365_BDSI_G106,0.14577070322011565,0.404427125,0.25865642177988435
155_BDSI_G106,0.26089299414505085,0.213283711,-0.04760928314505086
