0,y_predict,y_observed,error
224_BDSI_G107,0.7354010978533552,0.781718631,0.046317533146644885
264_BH8DSI_G107,0.9731108916007543,0.980486399,0.007375507399245751
288_BH8DSI_G107,0.8721609442550289,0.896554711,0.024393766744971068
669_BH8DSI_G107,0.8738689561660067,0.750252912,-0.12361604416600669
681_BDSI_G107,0.9523273836839508,0.99829012,0.04596273631604919
355_BDSI_G107,0.8537067211577778,0.920909945,0.06720322384222222
799_BH8DSI_G107,0.6779454976094712,0.672262039,-0.00568345860947117
707_BH8DSI_G107,0.8355275068679475,0.656355648,-0.1791718588679475
127_BH8DSI_G107,0.9420019622334621,1.307372783,0.3653708207665378
83_BDSI_G107,0.1368632473663638,0.03282458,-0.1040386673663638
455_BDSI_G107,1.1440445666708001,1.044519847,-0.09952471967080023
480_BDSI_G107,0.7456943711813437,0.678687506,-0.06700686518134369
296_BDSI_G107,0.6505336472619092,0.650054241,-0.0004794062619092321
458_BDSI_G107,1.0746896263694907,0.935429192,-0.13926043436949076
280_BDSI_G107,0.1859230735140045,0.109311876,-0.0766111975140045
365_BDSI_G107,0.8547366602688271,1.016476218,0.16173955773117288
155_BDSI_G107,0.7898694735549725,0.866998454,0.07712898044502747
