0,y_predict,y_observed,error
224_BDSI_G16,1.2696940482786476,0.607991642,-0.6617024062786476
83_BDSI_G16,1.0255560331878255,0.15626401,-0.8692920231878257
455_BDSI_G16,1.2146390044747672,1.258202344,0.0435633395252328
213_BDSI_G16,0.4722754828078841,1.049811867,0.577536384192116
480_BDSI_G16,0.750790893888059,0.948721998,0.197931104111941
296_BDSI_G16,1.0260060967990992,1.033282233,0.0072761362009008
458_BDSI_G16,1.2674082387341468,1.590860309,0.3234520702658532
280_BDSI_G16,0.9673229393712406,0.72831117,-0.2390117693712405
365_BDSI_G16,1.388324730454077,1.364780953,-0.0235437774540767
155_BDSI_G16,1.0797441365936424,1.424544251,0.3448001144063575
264_BH8DSI_G16,0.6879438452149609,0.667397506,-0.0205463392149608
288_BH8DSI_G16,0.7631051650630631,0.809184747,0.0460795819369368
669_BH8DSI_G16,1.068912238018095,1.047430471,-0.0214817670180951
681_BDSI_G16,1.1338339965948432,1.109123854,-0.0247101425948432
355_BDSI_G16,1.143557739463736,1.116850147,-0.0267075924637358
799_BH8DSI_G16,0.6995022209965924,1.012493913,0.3129916920034075
707_BH8DSI_G16,1.0420467760459466,0.842671406,-0.1993753700459466
127_BH8DSI_G16,0.9433170426571847,1.280243521,0.3369264783428152
